cardId,name,cardType,life,cost,power,attributes,traits,counter,colors,images,effectText,triggerText,rarity,set
EB01-001,Kouzuki Oden,LEADER,4,,5000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}, {""name"": ""Kouzuki Clan"", ""value"": ""Kouzuki Clan""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}, {""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001.png?250701"", ""alt"": ""Kouzuki Oden"", ""localPath"": ""EB01-001.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.""}]}]",,L,EB01 - Memorial Collection
EB01-001_p1,Kouzuki Oden,LEADER,4,,5000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}, {""name"": ""Kouzuki Clan"", ""value"": ""Kouzuki Clan""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}, {""name"": ""Green"", ""value"": ""Green""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p1.png?250701"", ""alt"": ""Kouzuki Oden"", ""localPath"": ""EB01-001_p1.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.""}]}]",,L,EB01 - Memorial Collection
EB01-002,Izo,CHARACTER,,5,7000,"[{""name"": ""Ranged"", ""value"": ""Ranged""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}, {""name"": ""Whitebeard Pirates"", ""value"": ""Whitebeard Pirates""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-002.png?250701"", ""alt"": ""Izo"", ""localPath"": ""EB01-002.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If your Leader has the {Land of Wano} or {Whitebeard Pirates} type, give up to 1 of your opponent's Leader or Character cards \u22122000 power during this turn.""}]}]",,R,EB01 - Memorial Collection
EB01-003,Kid & Killer,CHARACTER,,4,5000,"[{""name"": ""Slash"", ""value"": ""Slash""}, {""name"": ""Special"", ""value"": ""Special""}]","[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""Kid Pirates"", ""value"": ""Kid Pirates""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003.png?250701"", ""alt"": ""Kid & Killer"", ""localPath"": ""EB01-003.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.""}]}]",,R,EB01 - Memorial Collection
EB01-003_p1,Kid & Killer,CHARACTER,,4,5000,"[{""name"": ""Slash"", ""value"": ""Slash""}, {""name"": ""Special"", ""value"": ""Special""}]","[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""Kid Pirates"", ""value"": ""Kid Pirates""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p1.png?250701"", ""alt"": ""Kid & Killer"", ""localPath"": ""EB01-003_p1.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.""}]}]",,R,EB01 - Memorial Collection
EB01-004,Koza,CHARACTER,,2,3000,"[{""name"": ""Ranged"", ""value"": ""Ranged""}]","[{""name"": ""Alabasta"", ""value"": ""Alabasta""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-004.png?250701"", ""alt"": ""Koza"", ""localPath"": ""EB01-004.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[When Attacking] You may give your 1 active Leader \u22125000 power during this turn: Give up to 1 of your opponent's Characters \u22123000 power during this turn.""}]}]",,C,EB01 - Memorial Collection
EB01-005,Doma,CHARACTER,,1,3000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Whitebeard Pirates Allies"", ""value"": ""Whitebeard Pirates Allies""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-005.png?250701"", ""alt"": ""Doma"", ""localPath"": ""EB01-005.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""-""}]}]",,C,EB01 - Memorial Collection
EB01-006,Tony Tony.Chopper,CHARACTER,,3,4000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Animal"", ""value"": ""Animal""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006.png?250701"", ""alt"": ""Tony Tony.Chopper"", ""localPath"": ""EB01-006.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters \u22123000 power during this turn.""}]}]",,SR,EB01 - Memorial Collection
EB01-006_p1,Tony Tony.Chopper,CHARACTER,,3,4000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Animal"", ""value"": ""Animal""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p1.png?250701"", ""alt"": ""Tony Tony.Chopper"", ""localPath"": ""EB01-006_p1.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters \u22123000 power during this turn.""}]}]",,SR,EB01 - Memorial Collection
EB01-006_p2,Tony Tony.Chopper,CHARACTER,,3,4000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Animal"", ""value"": ""Animal""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p2.png?250701"", ""alt"": ""Tony Tony.Chopper"", ""localPath"": ""EB01-006_p2.jpg""}]","[{""type"": ""paragraph"", ""children"": [{""text"": ""[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters \u22123000 power during this turn.""}]}]",,SR,EB01 - Memorial Collection
