cardId,name,cardType,life,cost,power,attributes,traits,counter,colors,images,effect_description,trigger_description,has_trigger,trigger_effect,rarity,set
EB01-001,Kouzuki Oden,LEADER,4,,1000,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}, {""name"": ""Kouzuki Clan"", ""value"": ""Kouzuki Clan""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}, {""name"": ""Green"", ""value"": ""Green""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p1.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p2"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p2.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-002,Izo,CHARACTER,,5,22122000,"[{""name"": ""Ranged"", ""value"": ""Ranged""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}, {""name"": ""Whitebeard Pirates"", ""value"": ""Whitebeard Pirates""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-002.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-003,Kid & Killer,CHARACTER,,4,2000,"[{""name"": ""Slash"", ""value"": ""Slash""}, {""name"": ""Special"", ""value"": ""Special""}]","[{""name"": ""Supernovas"", ""value"": ""Supernovas""}, {""name"": ""Kid Pirates"", ""value"": ""Kid Pirates""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p1.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-004,Koza,CHARACTER,,2,22125000,"[{""name"": ""Ranged"", ""value"": ""Ranged""}]","[{""name"": ""Alabasta"", ""value"": ""Alabasta""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-004.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-005,Doma,CHARACTER,,1,,"[{""name"": ""Slash"", ""value"": ""Slash""}]","[{""name"": ""Whitebeard Pirates Allies"", ""value"": ""Whitebeard Pirates Allies""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-005.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-006,Tony Tony.Chopper,CHARACTER,,3,22123000,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Animal"", ""value"": ""Animal""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006.png?250701"", ""artist"": """", ""is_default"": true}, {""label"": ""p1"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p1.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p2"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p2.png?250701"", ""artist"": """", ""is_default"": false}, {""label"": ""p3"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p3.png?250701"", ""artist"": """", ""is_default"": false}]",,,False,,C,EB01 - Memorial Collection
EB01-007,Yamato,CHARACTER,,5,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Land of Wano"", ""value"": ""Land of Wano""}]",2000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-007.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-008,LittleOars Jr.,CHARACTER,,6,,"[{""name"": ""Strike"", ""value"": ""Strike""}]","[{""name"": ""Giant"", ""value"": ""Giant""}, {""name"": ""Whitebeard Pirates Allies"", ""value"": ""Whitebeard Pirates Allies""}]",1000,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-008.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-009,Just Shut Up and Come with Us!!!!,EVENT,,1,,[],"[{""name"": ""Drum Kingdom"", ""value"": ""Drum Kingdom""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009.png?250701"", ""artist"": """", ""is_default"": true}]",,,False,,C,EB01 - Memorial Collection
EB01-010,There's No Way You Could Defeat Me!!,EVENT,,3,6000,[],"[{""name"": ""Water Seven"", ""value"": ""Water Seven""}, {""name"": ""Straw Hat Crew"", ""value"": ""Straw Hat Crew""}]",-,"[{""name"": ""Red"", ""value"": ""Red""}]","[{""label"": ""default"", ""image_url"": ""[{\""url\"": \""https://en.onepiece-cardgame.com/images/cardlist/card/EB01-010.png?250701\"", \""alt\"": \""There\""s No Way You Could Defeat Me!!\"", \""localPath\"": \""EB01-010.jpg\""}]"", ""artist"": """", ""is_default"": true}]",,K.O. up to 1 of your opponent's Characters with 5000 base power or less.,True,,C,EB01 - Memorial Collection
